Function Name Readability,Variable Name Readability,Tabulators,Tab Indents,Space Indents,Prefer Tabs Over Spaces,Unique Words,author,function
0,1.00,0,0,11,0,19,.dd,dfs
1,1.00,0,0,35,0,43,.dd,main
1,1.00,0,0,9,0,17,.dd,ok
1,0.89,0,0,21,0,29,.dd,main
1,0.75,0,0,27,0,31,.dd,main
1,1.00,0,0,11,0,23,.dd,main
1,1.00,0,0,6,0,12,.dd,solve
0,1.00,0,0,9,0,22,.dd,solvef
0,1.00,0,0,22,0,24,.dd,dfs
0,1.00,0,0,7,0,16,.dd,dfs_nr
0,1.00,0,0,12,0,19,.dd,do_brute
1,1.00,0,0,28,0,34,.dd,main
0,1.00,0,0,2,0,13,.dd,noreturn
1,1.00,0,0,6,0,10,.dd,ok
1,0,0,0,0,0,4,.dd,abs
1,1.00,0,0,41,0,41,.dd,main
0,1.00,0,0,8,0,16,.dd,make_block
1,0.86,0,0,40,0,37,.dd,main
1,1.00,0,0,6,0,17,.dd,count
1,1.00,0,0,2,0,13,.dd,gen
1,0,0,0,1,0,8,.dd,init
1,0,0,0,10,0,18,.dd,insert
1,1.00,0,0,3,0,12,.dd,kill
1,1.00,0,0,16,0,28,.dd,main
1,1.00,0,0,7,0,22,.dd,solve
1,0,0,0,0,0,9,.dd,abs
1,1.00,0,0,21,0,21,.dd,brute
0,1.00,0,0,5,0,11,.dd,bubble_down
0,1.00,0,0,5,0,11,.dd,bubble_up
1,1.00,0,0,33,0,39,.dd,main
0,1.00,0,0,9,0,12,.dd,sort_down
0,1.00,0,0,9,0,12,.dd,sort_up
1,1.00,0,0,10,0,37,.jaz,main
1,1.00,0,0,25,0,29,.jaz,main
1,1.00,0,0,26,0,18,.jaz,main
1,1.00,0,0,39,0,30,.jaz,main
1,0.67,0,0,11,0,18,.jaz,brute
1,1.00,0,0,13,0,24,.jaz,main
1,0.67,0,0,20,0,34,.jaz,solve
0,1.00,0,0,6,0,13,.jaz,dfs
1,1.00,0,0,22,0,28,.jaz,main
1,1.00,0,0,21,0,28,.jaz,main
1,0.90,0,0,33,0,26,.jaz,main
1,1.00,0,0,20,0,22,.jaz,main
1,0.80,0,0,19,0,38,.jaz,solve
1,0.88,0,0,61,0,51,37ae912,main
0,0,0,0,4,0,11,37ae912,samedirection
1,1.00,0,0,2,0,7,37ae912,init
1,1.00,0,0,54,0,34,37ae912,main
1,1.00,0,0,28,0,22,37ae912,main
1,1.00,0,0,40,0,21,37ae912,main
1,1.00,0,0,31,0,30,37ae912,main
1,1.00,0,0,34,0,26,37ae912,test
1,0.67,0,0,31,0,22,37ae912,main
0,1.00,0,0,18,0,22,37ae912,Init
0,1.00,0,0,21,0,17,37ae912,Merge
1,0.75,12,6,38,0,44,37ae912,main
1,1.00,0,0,37,0,32,37ae912,solve
1,1.00,0,0,12,0,17,37ae912,CR
1,1.00,0,0,19,0,17,37ae912,DFS
0,1.00,0,0,4,0,13,37ae912,Init
1,0.60,14,7,24,0,38,37ae912,main
