Function Name Readability,Variable Name Readability,Tabulators,Tab Indents,Space Indents,Prefer Tabs Over Spaces,Unique Words,AbiTagAttr,AccessSpecDecl,ArraySubscriptExpr,BinaryOperator,CStyleCastExpr,CXXBoolLiteralExpr,CXXConstructExpr,CXXConstructorDecl,CXXConversionDecl,CXXCtorInitializer,CXXDependentScopeMemberExpr,CXXDestructorDecl,CXXFunctionalCastExpr,CXXMemberCallExpr,CXXMethodDecl,CXXOperatorCallExpr,CXXRecordDecl,CXXStaticCastExpr,CXXTemporaryObjectExpr,CXXThisExpr,CXXUnresolvedConstructExpr,CallExpr,ClassTemplateSpecialization,CompoundAssignOperator,CompoundStmt,ConditionalOperator,ConstantExpr,CopyAssignment,CopyConstructor,DeclRefExpr,DeclStmt,DefaultConstructor,DefinitionData,DependentNameType,Destructor,EnumConstantDecl,ExprWithCleanups,FieldDecl,ForStmt,FormatAttr,FriendDecl,FunctionDecl,FunctionTemplateDecl,ImplicitCastExpr,IntegerLiteral,MaterializeTemporaryExpr,MemberExpr,MoveAssignment,MoveConstructor,NoThrowAttr,NullStmt,public,ParenExpr,ParenListExpr,ParmVarDecl,PureAttr,ReturnStmt,StringLiteral,TemplateArgument,TemplateSpecializationType,TemplateTypeParmDecl,TypedefDecl,UnaryOperator,UnresolvedLookupExpr,UsingDecl,UsingShadowDecl,WhileStmt,author,function
0,1,0,0,11,0,19,0,0,12,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,41,3,0,0,0,0,0,0,0,2,0,0,1,0,50,8,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,.dd,dfs
1,1,0,0,35,0,43,0,1,6,25,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,16,0,0,9,4,1,1,1,82,12,1,1,0,2,1,0,0,8,0,0,7,1,86,17,0,1,1,1,3,0,2,5,0,16,0,3,10,1,0,3,0,15,0,3,6,0,.dd,main
1,1,0,0,9,0,17,0,0,8,6,0,19,0,0,0,0,0,0,0,0,10,0,29,0,0,0,0,11,12,0,3,0,16,18,18,33,4,18,18,1,18,2,0,0,4,0,0,11,11,47,7,0,0,18,18,0,0,5,0,0,46,0,5,0,74,24,52,0,6,17,2,3,0,.dd,ok
1,0.89,0,0,21,0,29,0,1,0,21,4,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,16,0,2,7,0,1,1,1,57,8,1,1,0,2,1,0,0,3,0,0,7,1,67,13,0,1,1,1,3,0,2,10,0,16,0,3,10,1,0,3,0,8,0,3,6,0,.dd,main
1,0.75,0,0,27,0,31,0,1,4,14,0,2,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,14,0,1,9,0,1,1,1,52,11,1,1,0,2,1,0,0,7,0,0,7,1,56,22,0,1,1,1,3,0,2,2,0,16,0,3,11,1,0,3,0,10,0,3,6,0,.dd,main
1,1,0,0,11,0,23,0,1,0,2,0,0,2,2,0,2,0,1,0,1,2,0,2,0,0,0,0,11,0,0,7,0,1,1,1,27,3,1,1,0,2,1,0,0,1,0,0,7,1,33,6,0,1,1,1,3,0,2,2,0,16,0,3,7,1,0,3,0,5,0,3,6,0,.dd,main
1,1,0,0,6,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,38,5,0,0,0,0,0,0,0,3,0,0,2,0,43,10,0,0,0,0,0,0,0,5,0,6,0,4,2,0,0,0,0,7,0,0,0,0,.dd,solve
0,1,0,0,9,0,22,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,27,2,0,0,0,0,0,0,0,1,0,0,1,0,31,7,0,0,0,0,0,0,0,4,0,3,0,3,2,0,0,0,0,4,0,0,0,0,.dd,solvef
0,1,0,0,22,0,24,0,0,25,28,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,91,11,0,0,0,0,0,0,0,7,0,0,2,0,108,8,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,14,0,0,0,0,.dd,dfs
0,1,0,0,7,0,16,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,2,0,0,0,0,0,0,0,2,0,0,1,0,27,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,.dd,dfs_nr
