empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,creation_order,author
0.19,0.81,14.76,18.25,319,57,1387,0,833,0,0.97,0,0.60,3,0.77,1.00,0,0,0,1,0,1,27,9,0,16,1,0,1,0,1,0,2,0.50,15.50,1.50,2,4,2.00,0.00,73,0.97,1,3,1,1,0,.dd
0.15,0.85,16.67,17.61,107,35,550,0,235,0,0.96,0,0.43,1,0.75,1.00,0,0,0,1,0,0,5,2,0,3,0,0,0,0,1,0,0,0,0,0,3,4,0,0,25,0.93,0,0,1,0,0,.dd
0.12,0.88,13.44,15.89,107,39,551,0,357,0,0.91,0,0.65,0,0,0,0,0,0,1,0,0,13,4,2,7,0,0,0,0,1,0,0,0,0,0,3,4,0,0,34,0.97,0,0,0,0,0,.dd
0.19,0.81,13.44,16.19,159,41,645,0,300,0,0.92,0,0.47,0,0,0,0,0,0,1,0,0,9,4,1,4,0,0,0,0,1,0,2,0.50,12.50,3.50,2,4,4.00,1.00,27,0.71,0,0,1,0,0,.dd
0.20,0.80,13.76,15.91,447,70,1830,0,867,0,0.97,0,0.47,2,0.67,1.00,0,0,0,1,0,1,37,13,3,18,2,0,1,0,1,0,5,0.20,14.40,7.68,2,4,1.60,0.88,101,0.95,0,4,1,0,0,.dd
0.15,0.85,10.91,14.48,196,52,818,0,667,0,0.95,0,0.82,0,0,0,0,0,0,1,0,0,14,5,2,7,0,0,0,0,1,0,2,0.50,6.00,5.00,3,4,2.00,0.00,51,0.81,1,1,0,0,0,.dd
0.20,0.80,15.71,20.74,246,45,1021,0,704,0,1.04,0,0.69,0,0,0,0,0,0,1,0,0,17,3,0,14,0,0,0,0,1,0,0,0,0,0,3,7,0,0,51,1.00,1,0,1,1,0,.dd
0.18,0.82,12.99,14.85,269,62,1234,0,494,0,0.83,0,0.40,1,0.75,1.00,0,0,0,1,0,0,18,6,2,10,0,0,0,0,1,0,4,1.00,7.25,1.88,2,4,0.75,0.75,72,0.94,1,1,1,0,0,.dd
0.13,0.87,14.69,17.09,465,53,1836,0,1119,0,0.91,0,0.61,5,0.86,1.00,0,0,0,1,0,0,35,10,0,25,0,0,0,0,1,0,6,0.33,10.83,5.17,2,4,2.00,0.00,111,1.03,1,0,1,1,0,.dd
0.16,0.84,9.90,7.40,121,38,495,0,140,0,0.41,0,0.28,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,3,3,0,0,40,0.98,0,0,1,0,0,.jaz
0.13,0.87,10.97,14.23,95,33,417,0,349,0,0.94,0,0.84,0,0,0,0,0,0,1,0,0,5,1,0,3,1,0,0,0,1,0,0,0,0,0,3,3,0,0,25,0.78,0,0,1,0,0,.jaz
0.12,0.88,11.41,17.61,80,19,388,0,421,0,1.03,0,1.09,0,0,0,0,0,0,1,0,0,14,8,4,2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,18,0.62,0,0,1,0,0,.jaz
0.16,0.84,12.45,17.30,159,32,685,0,641,0,1.04,0,0.94,2,0.86,1.00,0,0,1.00,1,0,0,10,4,1,5,0,0,0,0,1,0,0,0,0,0,3,5,0,0,37,0.82,0,0,1,0,0,.jaz
0.25,0.75,15.77,17.07,301,52,1246,0,476,0,1.09,0,0.38,4,0.95,1.00,0,0,0,1,0,1,13,6,0,7,0,0,0,0,1,0,2,1.00,20.00,6.00,1,3,3.00,1.00,48,0.83,0,0,1,0,0,.jaz
0.20,0.80,11.00,13.42,116,39,539,0,325,0,1.00,0,0.60,0,0,0,0,0,0,1,0,1,8,3,0,5,0,0,0,0,1,0,1,0.00,9.00,0.00,1,4,1.00,0.00,31,0.82,1,0,1,0,0,.jaz
0.28,0.72,12.43,16.67,114,32,497,0,304,0,1.14,0,0.61,2,0.89,1.00,0,0,0.50,1,0,1,7,3,0,4,0,0,0,0,1,0,0,0,0,0,3,4,0,0,23,0.82,1,0,1,0,0,.jaz
0.19,0.81,11.56,16.15,123,30,555,0,477,0,1.11,0,0.86,0,0,0,0,0,0,1,0,1,9,6,1,2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,27,0.71,0,0,1,0,0,.jaz
0.19,0.81,16.05,16.71,195,56,947,0,409,0,1.04,0,0.43,4,0.95,1.00,0,0,0,1,0,1,11,3,1,6,1,0,0,0,1,0,1,1.00,23.00,0.00,1,6,2.00,0.00,36,0.77,0,0,1,0,0,.jaz
0.09,0.91,7.62,7.44,135,32,716,343,53,82,1.02,1,0.55,0,0,0,0,0,0,1,0,0,23,11,7,5,0,0,0,0,1,0,0,0,0,0,3,3,0,0,40,0.47,0,0,1,0,0,23nigam
0.20,0.80,8.74,8.97,84,31,402,81,46,34,1.11,1,0.32,0,0,0,0,0,0,1,0,0,4,2,0,1,1,0,0,0,1,0,0,0,0,0,3,2,0,0,22,0.61,0,0,1,0,0,23nigam
0.06,0.94,11.35,10.49,95,25,556,95,45,41,0.96,1,0.25,0,0,0,0,0,0,1,0,0,11,4,2,5,0,0,0,0,1,0,0,0,0,0,3,4,0,0,27,0.60,0,0,1,0,0,23nigam
0.19,0.81,10.60,9.11,99,31,562,79,36,37,1.00,1,0.20,2,1.00,1.00,0,0,0,1,0,1,7,2,2,3,0,0,0,0,1,0,0,0,0,0,3,2,0,0,27,0.64,0,0,1,0,0,23nigam
